X,Y,id,schoolname,score,num_fixtures,zip
-87.632737,41.757341,207,Harvard,0.018181818181818184,11.0,60620
-87.723128,41.964029,208,Haugan,0.0,25.0,60625
-87.657709,41.942275,209,Hawthorne,0.0,12.0,60657
-87.755813,41.899171,210,Hay,0.0,18.0,60651
-87.668504,41.994541,211,Hayt,0.0,28.0,60660
-87.640341,41.839595,212,Healy,0.0625,16.0,60616
-87.745726,41.808175,213,Hearst,0.0,18.0,60638
-87.673327,41.807112,214,Hedges,0.0,22.0,60609
-87.735802,41.878665,215,Hefferan,0.0,5.0,60624
-87.671887,41.790591,216,Henderson,0.0,22.0,60636
-87.633664,41.815788,217,Hendricks,0.0,9.0,60609
-87.715632,41.958989,218,Henry,0.0,10.0,60618
-87.71137,41.793479,219,Hernandez,0.0,25.0,60632
-87.718994,41.862081,220,Herzl,0.0,30.0,60623
-87.710362,41.970335,221,Hibbard,0.010714285714285714,16.0,60625
-87.646994,41.681031,222,Higgins,0.0,10.0,60643
-87.601727,41.753748,223,Hirsch Hs,0.0,24.0,60619
-87.779123,41.983672,224,Hitch,0.0,12.0,60646
-87.653792,41.838027,225,Holden,0.0,15.0,60608
-87.649795,41.793788,226,Holmes,0.0,21.0,60621
-87.641244,41.793553,227,Hope Hs,0.0,25.0,60621
-87.668077,41.883362,228,Hope Institute,0.0041666666666666675,48.0,60612
-87.759398,41.893612,229,Howe,0.0,14.0,60644
-87.718014,41.780526,230,Hubbard Hs,0.0,40.0,60629
-87.731777,41.860518,231,Hughes C,0.028571428571428574,14.0,60623
-87.629869,41.705342,232,Hughes L,0.009523809523809523,21.0,60628
-87.719541,41.766785,233,Hurley,0.0,15.0,60629
-87.586615,41.782257,234,Hyde Park Hs,0.0,51.0,60637
-87.651573,41.949003,235,Interamerican,0.0,20.0,60613
-87.683616,41.871595,236,Irving,0.0,16.0,60612
-87.646767,41.734125,237,Jackson M,0.0,4.0,60620
-87.67581,41.939247,238,Jahn,0.0,15.0,60657
-87.700529,41.984641,239,Jamieson,0.0,9.0,60659
-87.641056,41.902055,240,Jenner,0.0,19.0,60610
-87.702241,41.873815,241,Jensen,0.0,23.0,60612
-87.703139,41.861836,242,Johnson,0.0,19.0,60623
-87.627675,41.873066,243,Jones Hs,0.0,48.0,60605
-87.669366,41.749339,244,Joplin,0.0,10.0,60620
-87.663732,41.852667,245,Juarez Hs,0.0,33.0,60608
-87.653749,41.705859,246,Julian Hs,0.04137931034482759,29.0,60643
-87.652302,41.858065,247,Jungman,0.0,5.0,60608
-87.705112,41.850771,248,Kanoon,0.005128205128205128,13.0,60623
-87.697278,41.69717,249,Keller,0.0,5.0,60655
